;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__max_iter;param_model__hidden_layer_sizes;param_model__alpha;param_model__activation;param_PCA__n_components;params;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2
45;4.103873158;0.615170248;0.005622101;0.00295986;20000;(20, 15, 10, 1);0.0001;relu;4;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 4};-223.0330588;-210.1240308;-266.6369498;-230.945152;-275.4254366;-241.2329256;25.37451092;1;0.877767464;0.835551914;0.641736409;0.786773594;0.752456481;0.778857173;0.080696108;1
2;4.919164228;0.965068164;0.005589533;0.001953654;20000;(15, 15, 10);0.0002;relu;9;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 9};-265.9595405;-252.2132696;-282.9862072;-283.4097127;-288.9206193;-274.6978699;13.62934328;2;0.826188108;0.763073717;0.596454465;0.678890802;0.727604116;0.718442242;0.077627848;2
48;5.09709363;1.118353687;0.005529785;0.00160504;20000;(15, 10, 10, 1);0.0002;relu;3;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 3};-287.9731058;-243.2232138;-272.1623502;-274.9185956;-332.3307191;-282.1215969;29.04944109;3;0.79622439;0.779663005;0.626734284;0.697843794;0.639600283;0.708013151;0.06972075;3
42;5.373319292;2.309417379;0.004003429;0.001259736;20000;(15, 15, 10);0.0003;relu;11;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 11};-284.4462797;-271.1810151;-307.3960088;-333.7159989;-286.6948949;-296.6868395;21.84519302;4;0.801185133;0.726097535;0.523833917;0.554777256;0.7317848;0.667535728;0.108429033;4
49;6.892717266;1.02745513;0.004887295;0.000794715;20000;(20, 15, 10, 1);0.0003;relu;11;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 11};-289.8523448;-300.7562216;-325.4160557;-278.7411773;-307.3892179;-300.4310035;15.84381222;5;0.793556137;0.663095651;0.466370337;0.689382768;0.69166649;0.660814277;0.106959871;5
32;7.527459526;1.375103282;0.008434486;0.006363944;10000;(20, 15, 10, 1);0.0003;relu;11;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 11};-289.8523448;-300.7562216;-325.4160557;-278.7411773;-307.3892179;-300.4310035;15.84381222;5;0.793556137;0.663095651;0.466370337;0.689382768;0.69166649;0.660814277;0.106959871;5
40;2.016363811;1.143108803;0.00520649;0.002402934;20000;(15, 10, 10, 1);0.0002;relu;7;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 7};-325.9281708;-232.4786694;-287.3418251;-340.9696745;-391.3989647;-315.6234609;53.29812725;7;0.738968969;0.798700081;0.58393642;0.535212119;0.500100374;0.631383593;0.116880187;7
19;0.65955658;0.021075109;0.007219124;0.003688241;10000;(15, 10, 10, 1);0.0002;identity;6;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 6};-337.5081893;-270.7408573;-315.389327;-295.1617922;-386.0072572;-320.9614846;39.30274912;9;0.720090931;0.726985963;0.498748144;0.651707949;0.513778223;0.622262242;0.098416538;8
46;0.506724167;0.038989392;0.004515982;0.0030014;20000;(20, 15, 10, 1);0.0001;identity;7;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 7};-335.4140126;-273.806895;-317.2726596;-294.5291534;-385.6448858;-321.3335213;38.28304266;10;0.723553724;0.720767389;0.492743866;0.653199381;0.514690694;0.620991011;0.099256136;9
31;0.51085248;0.029941482;0.006007242;0.001786207;20000;(15, 15, 10);0.0003;identity;6;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 6};-338.5467765;-273.7503098;-315.6024559;-295.2608894;-389.3043156;-322.4929494;39.71496675;12;0.718365596;0.72088279;0.498070458;0.651474039;0.50543668;0.618845913;0.098821709;10
18;0.742348576;0.093806269;0.005196953;0.002393019;10000;(15, 10, 10, 1);0.0001;identity;5;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 5};-337.289972;-270.9984116;-319.5855725;-294.4791939;-388.0911743;-322.0888648;39.91534375;11;0.720452767;0.726466283;0.485321129;0.653317023;0.508514172;0.618814275;0.103049804;11
29;3.004355621;1.850547481;0.005386639;0.000796236;10000;(15, 15, 10);0.0003;relu;3;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 3};-274.6603523;-300.926477;-342.1139453;-272.0542801;-411.1489096;-320.1807928;51.9908874;8;0.814629643;0.662714106;0.410201636;0.704107191;0.448377779;0.608006071;0.154615317;12
20;0.627718115;0.045359917;0.012432098;0.008833537;10000;(20, 15, 10, 1);0.0003;identity;4;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 4};-337.9868741;-285.6581175;-333.7780085;-298.4672509;-387.4618899;-328.6704282;35.5854192;13;0.719296383;0.696072137;0.438593486;0.64386336;0.510106755;0.601586424;0.109092393;13
28;0.49005475;0.040645174;0.004986715;2.34E-07;20000;(20, 15, 10, 1);0.0002;identity;4;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 4};-337.9868741;-285.6581175;-333.7780085;-298.4672509;-387.4618899;-328.6704282;35.58541921;14;0.719296383;0.696072137;0.438593486;0.64386336;0.510106755;0.601586424;0.109092393;14
22;0.655434179;0.024072178;0.005116463;0.000934996;20000;(15, 15, 10);0.0001;identity;4;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 4};-340.8629649;-288.467842;-333.3193397;-299.76812;-387.3330361;-329.9502605;34.79934884;15;0.714498776;0.690063883;0.440135366;0.640752153;0.510432537;0.599176543;0.106261801;15
38;0.626065302;0.051797924;0.003333712;0.003479667;10000;(15, 15, 10);0.0002;identity;4;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 4};-340.8629649;-288.467842;-333.3193397;-299.76812;-387.3330361;-329.9502605;34.79934884;16;0.714498776;0.690063883;0.440135366;0.640752153;0.510432537;0.599176543;0.106261801;16
14;1.713608837;0.590903128;0.006584167;0.002051017;20000;(15, 10, 10, 1);0.0001;relu;10;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 10};-327.1506439;-292.5125395;-321.8864508;-337.1663791;-392.8874915;-334.3207009;32.83933464;17;0.737007176;0.681311529;0.47788352;0.545523104;0.496290814;0.587603229;0.103198734;17
12;0.553941154;0.03214118;0.004510355;0.000892899;20000;(20, 15, 10, 1);0.0002;identity;3;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 3};-371.7057329;-289.0803191;-334.5959705;-301.0278457;-401.1869;-339.5193536;42.16344716;18;0.660494465;0.688746368;0.43583853;0.63772645;0.474785202;0.579518203;0.103430167;18
34;0.384798098;0.037270364;0.006391478;0.001957153;10000;(15, 15, 10);0.0002;identity;2;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 2};-616.9831263;-491.8297763;-421.6916692;-495.032455;-550.7471495;-515.2568353;65.29945427;19;0.064605281;0.099036882;0.103909131;0.020305587;0.010198785;0.059611133;0.038802448;19
7;0.281434774;0.009255752;0.004413414;0.001076724;20000;(20, 15, 10, 1);0.0002;identity;1;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 1};-640.9668946;-517.901493;-446.8643072;-501.439423;-553.4537376;-532.1251711;64.36578529;20;-0.009530718;0.000985705;-0.006267263;-0.005217952;0.000446335;-0.003916779;0.00404488;20
27;61.01622357;1.555970133;0.005629301;0.004658904;20000;(15, 15, 10);0.0003;logistic;1;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 1};-642.1927592;-518.3099931;-446.7237361;-500.1393439;-553.8327531;-532.2397171;64.95134307;21;-0.013395915;-0.000590881;-0.005634275;-1.23E-05;-0.00092316;-0.004111299;0.005057335;21
16;0.372314644;0.05725925;0.006393385;0.00195803;20000;(15, 10, 10, 1);0.0003;identity;1;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 1};-641.9596804;-518.5796196;-448.5082435;-501.2422864;-553.3643504;-532.7308361;64.25249122;22;-0.01266044;-0.001632174;-0.013684646;-0.004427722;0.00076918;-0.00632716;0.00583527;22
30;0.905735445;0.513594219;0.009197998;0.007526449;10000;(15, 15, 10);0.0002;relu;1;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 1};-641.0125262;-520.1201621;-450.9329628;-521.5553234;-561.132251;-538.9506451;62.14973516;23;-0.009674464;-0.007592103;-0.02467461;-0.087486942;-0.027481302;-0.031381884;0.029138104;23
15;82.37716141;1.037885945;0.00620513;0.001835083;20000;(20, 15, 10, 1);0.0003;logistic;9;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 9};-763.7368728;-625.3201049;-555.7665946;-614.9602393;-667.0514491;-645.3670521;69.04538197;24;-0.433295896;-0.456404998;-0.556491981;-0.511880133;-0.451985002;-0.482011602;0.045541126;24
23;80.45851531;1.491285146;0.005608892;0.001973563;20000;(20, 15, 10, 1);0.0002;logistic;4;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 4};-763.9232446;-625.5160197;-555.9745666;-615.1608564;-667.2554201;-645.5660215;69.03907257;25;-0.433995505;-0.457317733;-0.5576571;-0.512866728;-0.452873114;-0.482942036;0.045682241;25
47;73.74667282;7.394116686;0.006126642;0.0003078;20000;(20, 15, 10, 1);0.0002;logistic;2;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 2};-763.9709882;-625.5599383;-556.0268869;-615.2101035;-667.3022944;-645.6140422;69.03791989;26;-0.434174754;-0.457522382;-0.557950283;-0.513108965;-0.453077248;-0.483166726;0.045721637;26
37;39.25894933;0.972059266;0.00690589;0.000906357;10000;(15, 10, 10, 1);0.0002;logistic;3;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 3};-797.3808226;-659.8265471;-592.5727305;-650.7086881;-701.3623301;-680.3702237;68.03293019;27;-0.562355689;-0.621574648;-0.769478674;-0.692764321;-0.605197;-0.650274066;0.072938878;27
1;35.98771505;1.091124062;0.009326601;0.00649491;10000;(15, 10, 10, 1);0.0003;logistic;8;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 8};-797.9500353;-660.4214924;-593.2077523;-651.3210064;-701.9433278;-680.9687228;68.0113597;28;-0.564587069;-0.624500215;-0.773273178;-0.69595161;-0.607857542;-0.653233923;0.073453564;28
25;36.55648527;0.591958837;0.005791473;0.000402213;10000;(15, 10, 10, 1);0.0001;logistic;6;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 6};-798.0359172;-660.5192548;-593.305259;-651.4177848;-702.0349624;-681.0626356;68.00704659;29;-0.564923875;-0.6249812;-0.773856178;-0.696455643;-0.608277362;-0.653698852;0.07353195;29
8;36.68911614;0.620608155;0.006421661;0.001955267;10000;(15, 10, 10, 1);0.0003;logistic;9;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 9};-798.1966974;-660.6772293;-593.47672;-651.5801071;-702.1996125;-681.2260733;68.00456391;30;-0.565554508;-0.625758578;-0.77488159;-0.697301204;-0.609031838;-0.654505544;0.073659207;30
39;94.45310898;1.297753148;0.007196045;0.001599492;20000;(15, 10, 10, 1);0.0003;relu;8;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 8};-798.4505394;-660.9464864;-593.7666872;-651.8647745;-702.4653167;-681.4987608;67.99235376;31;-0.56655042;-0.627083994;-0.776616395;-0.698784588;-0.610249746;-0.655857029;0.073904238;31
3;36.64023719;0.698862067;0.007009792;0.001547617;10000;(15, 10, 10, 1);0.0002;logistic;5;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 5};-803.6195569;-666.3154457;-599.4687728;-657.3981777;-707.7908786;-686.9185664;67.82062068;32;-0.586899176;-0.653625413;-0.810902796;-0.727747517;-0.634757693;-0.682786519;0.078468838;32
41;0.010842896;0.000955051;0;0;20000;(15, 10, 10, 1);0.0002;relu;15;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 15};;;;;;;;33;;;;;;;;33
43;0.008008337;3.77E-05;0;0;10000;(20, 15, 10, 1);0.0001;relu;14;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 14};;;;;;;;33;;;;;;;;33
44;0.010810089;0.003457591;0;0;20000;(20, 15, 10, 1);0.0002;relu;19;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 19};;;;;;;;33;;;;;;;;33
36;0.010018778;0.001803365;0;0;10000;(15, 15, 10);0.0003;logistic;16;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 16};;;;;;;;33;;;;;;;;33
0;0.011186171;0.001597905;0;0;10000;(15, 10, 10, 1);0.0003;logistic;15;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 15};;;;;;;;33;;;;;;;;33
33;0.010491514;0.002926595;0;0;20000;(20, 15, 10, 1);0.0002;relu;17;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 17};;;;;;;;33;;;;;;;;33
26;0.008715677;0.001641592;0;0;10000;(20, 15, 10, 1);0.0001;logistic;16;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 16};;;;;;;;33;;;;;;;;33
21;0.011186123;0.00466296;0;0;10000;(20, 15, 10, 1);0.0003;identity;19;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 19};;;;;;;;33;;;;;;;;33
17;0.010387659;0.003194332;0;0;20000;(20, 15, 10, 1);0.0003;identity;15;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 15};;;;;;;;33;;;;;;;;33
13;0.010481977;0.001930312;0;0;10000;(20, 15, 10, 1);0.0001;logistic;13;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 13};;;;;;;;33;;;;;;;;33
11;0.011216736;0.002026076;0;0;10000;(20, 15, 10, 1);0.0003;logistic;18;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 18};;;;;;;;33;;;;;;;;33
10;0.008786488;0.001598812;0;0;10000;(15, 15, 10);0.0001;identity;18;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 18};;;;;;;;33;;;;;;;;33
9;0.010384274;0.001960174;0;0;10000;(15, 15, 10);0.0001;logistic;17;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 17};;;;;;;;33;;;;;;;;33
6;0.011742592;0.003070747;0;0;20000;(15, 15, 10);0.0003;identity;14;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 14};;;;;;;;33;;;;;;;;33
5;0.009587479;0.001956939;0;0;20000;(20, 15, 10, 1);0.0001;identity;18;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 18};;;;;;;;33;;;;;;;;33
4;0.007988262;5.39E-06;0;0;10000;(20, 15, 10, 1);0.0001;identity;18;{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 18};;;;;;;;33;;;;;;;;33
35;0.011185598;0.00465919;0;0;20000;(15, 10, 10, 1);0.0003;logistic;14;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'logistic', 'PCA__n_components': 14};;;;;;;;33;;;;;;;;33
24;0.01031208;0.002081727;0;0;20000;(15, 15, 10);0.0003;relu;17;{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 17};;;;;;;;33;;;;;;;;33
