;CaseID;Model;Scaler;RMSE_train;RMSE_valid
0;0;LinearRegression;StandardScaler;317.2959515;326.8281218
1;0;LinearRegression;MinMaxScaler;317.7466892;326.688326
2;0;LinearRegression;RobustScaler;317.2844722;326.8045493
3;0;MLPRegressor;StandardScaler;95.93606431;342.5037225
4;0;MLPRegressor;MinMaxScaler;231.4597805;301.3205995
5;0;MLPRegressor;RobustScaler;87.85057575;313.7647566
6;0;SVR;StandardScaler;570.3976631;566.5859296
7;0;SVR;MinMaxScaler;571.3119646;567.0486348
8;0;SVR;RobustScaler;561.7525327;558.6555145
9;1;LinearRegression;StandardScaler;319.1143931;324.7763402
10;1;LinearRegression;MinMaxScaler;319.1143931;324.7763402
11;1;LinearRegression;RobustScaler;319.1143931;324.7763402
12;1;MLPRegressor;StandardScaler;144.3026721;304.6454236
13;1;MLPRegressor;MinMaxScaler;252.3338966;277.6798572
14;1;MLPRegressor;RobustScaler;156.5173613;262.8444333
15;1;SVR;StandardScaler;567.2732807;563.1807621
16;1;SVR;MinMaxScaler;568.0696017;564.2968395
17;1;SVR;RobustScaler;561.4344794;558.3668454
18;2;LinearRegression;StandardScaler;531.963587;519.0700792
19;2;LinearRegression;MinMaxScaler;531.963587;519.0700792
20;2;LinearRegression;RobustScaler;531.963587;519.0700792
21;2;MLPRegressor;StandardScaler;527.9811208;512.5682166
22;2;MLPRegressor;MinMaxScaler;531.9070334;519.7311494
23;2;MLPRegressor;RobustScaler;526.0913639;513.3146011
24;2;SVR;StandardScaler;572.0319504;567.4503175
25;2;SVR;MinMaxScaler;572.1626415;567.6772397
26;2;SVR;RobustScaler;572.072409;567.4054136
27;3;LinearRegression;StandardScaler;532.5506111;524.8918143
28;3;LinearRegression;MinMaxScaler;532.5506111;524.8918143
29;3;LinearRegression;RobustScaler;532.5506111;524.8918143
30;3;MLPRegressor;StandardScaler;520.1814403;516.4289074
31;3;MLPRegressor;MinMaxScaler;532.6099427;525.2923089
32;3;MLPRegressor;RobustScaler;518.3470106;516.9226738
33;3;SVR;StandardScaler;572.0223849;567.1267304
34;3;SVR;MinMaxScaler;572.0043251;567.1214513
35;3;SVR;RobustScaler;572.129554;567.0998539
36;4;LinearRegression;StandardScaler;323.5183936;331.9896135
37;4;LinearRegression;MinMaxScaler;323.5183936;331.9896135
38;4;LinearRegression;RobustScaler;323.5183936;331.9896135
39;4;MLPRegressor;StandardScaler;213.4140567;280.235012
40;4;MLPRegressor;MinMaxScaler;278.3957289;290.4358968
41;4;MLPRegressor;RobustScaler;263.1307282;292.7164699
42;4;SVR;StandardScaler;563.8197195;559.9294877
43;4;SVR;MinMaxScaler;563.1726414;559.5604685
44;4;SVR;RobustScaler;555.6929089;550.7870333
45;5;LinearRegression;StandardScaler;323.5183305;331.9897519
46;5;LinearRegression;MinMaxScaler;323.5183305;331.9897519
47;5;LinearRegression;RobustScaler;323.5183305;331.9897519
48;5;MLPRegressor;StandardScaler;211.2380817;279.8223446
49;5;MLPRegressor;MinMaxScaler;278.3946711;290.4463028
50;5;MLPRegressor;RobustScaler;263.1382909;292.846428
51;5;SVR;StandardScaler;563.8195565;559.9292205
52;5;SVR;MinMaxScaler;563.1726217;559.5603941
53;5;SVR;RobustScaler;555.6927934;550.7868655
